Query,Questions,Ground truth,Unnamed: 3,LLM+RAG+Name
11,Informatika itu apa sih,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Halo! Selamat datang di Program Studi Informatika Universitas Harapan Nusantara (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang informatika.

Jawabannya sederhana: **informatika** adalah ilmu yang mempelajari cara mengolah, menyimpan, dan mendistribusikan informasi menggunakan komputer. Bayangkan saja seperti ini – kita belajar bagaimana membuat program, aplikasi, atau bahkan sistem pintar yang bisa membantu masyarakat.

Di UHN Sugriwa, kami tidak hanya fokus pada dasar-dasar pemrograman, tapi juga menekankan penerapan teknologi yang relevan dengan kebutuhan Indonesia dan budayanya. Misalnya, kami mengembangkan sistem cerdas untuk membantu petani lokal meningkatkan hasil panen, atau aplikasi yang melestarikan bahasa daerah. Kami juga melatih mahasiswa untuk menjadi ahli dalam bidang keamanan data dan privasi digital, karena hal ini sangat penting di era sekarang.

Kami percaya bahwa teknologi harus bermanfaat bagi semua orang, bukan hanya segelintir orang saja"
12,Serius bisa buat game?,di Informatika mahasiswa bisa membuat game sesuai dengan bakat dan minatnya,Profil,"Halo! Senang bertemu dengan Anda di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Pertanyaan Anda mengenai kemungkinan membuat game sangat menarik!

Ya, kami memiliki potensi besar untuk mengembangkan game karena beberapa alasan:

1. **Kurikulum yang Kuat:** Kurikulum kita dirancang untuk memberikan dasar kuat dalam pemrograman dan desain permainan. Kita fokus pada bahasa pemrograman seperti Java, C++, dan Python – bahasa yang umum digunakan dalam industri game.

2. **Fasilitas:** Kami memiliki laboratorium komputer lengkap dengan perangkat keras dan software profesional yang dibutuhkan untuk pembuatan game.

3. **Komunitas Aktif:** Ada banyak teman-teman sekelas yang tertarik dengan game development, dan sering ada kegiatan kolaborasi atau proyek bersama.

4. **Dukungan Dosen:** Bapak/Ibu dosen juga siap membimbing jika Anda ingin mengembangkan ide game Anda.

Mungkin Anda bisa mulai dengan mencoba membuat game sederhana sebagai proyek pribadi atau"
13,Waaau seru nanti belajar pemrograman apa itu sih?,"Belajar pemrograman itu belajar menulis instruksi menggunakan bahasa pemrograman agar komputer dapat menjalankan tugas tertentu.  membuat kode berdasarkan algoritma, kemudian kode diterjemahkan oleh compiler atau interpreter menjadi perintah yang dipahami komputer. Setelah itu, program diuji dan diperbaiki jika terdapat kesalahan agar dapat berjalan sesuai tujuan yang diinginkan.",Belajar apa?,"Halo! Wah, senang sekali mendengar kamu tertarik dengan mata kuliah Pengenalan Pemrograman di UHN I Gusti Bagus Sugriwa! Belajar pemrograman memang bisa sangat menyenangkan dan membuka banyak peluang.

Pada dasarnya, mata kuliah ini akan mengajakmu untuk mempelajari cara berkomunikasi dengan komputer menggunakan bahasa yang disebut *pemrograman*. Bayangkan seperti belajar bahasa baru – tapi kali ini, kita “berbicara” dengan mesin!

Di sini, kamu akan belajar:

*  **Dasar-dasar penulisan kode:** Seperti aturan-aturan tata bahasa yang harus dipatuhi agar komputer bisa memahami instruksi kita.
*  **Cara membuat keputusan dan mengulang tugas:** Misalnya, membuat program yang bisa memeriksa apakah nilai ujianmu lulus atau tidak, atau menghitung jumlah angka dalam sebuah daftar.
*  **Menyimpan informasi:** Menggunakan variabel untuk menyimpan data seperti nama, usia, atau hasil perhitungan.
*  **Memb"
14,Apa perbedaan save dan save as dalam word?,"Save digunakan untuk menyimpan perubahan pada dokumen yang sedang dikerjakan dengan nama dan lokasi file yang sama. Save As digunakan untuk menyimpan salinan dokumen dengan nama, format, atau lokasi yang berbeda. Fitur Save As berguna ketika pengguna ingin membuat versi baru tanpa mengubah file asli yang sudah ada.",Umum,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang Microsoft Word – ini penting banget buat kita semua yang sering nulis tugas atau laporan.

Perbedaan antara *Save* dan *Save As* di Microsoft Word itu sederhana:

**1. Save (Simpan):**
- Digunakan untuk menyimpan dokumen yang sudah kamu buka ke folder yang sama dengan versi sebelumnya.
- Jadi, kalau kamu udah nyimpen dokumen sebelumnya, klik *Save* aja biar gak hilang data terakhirmu.
- Biasanya otomatis disimpan di lokasi yang sama.

**2. Save As (Simpan Sebagai):**
- Digunakan buat menyimpan dokumen ke tempat baru, misalnya ke flashdisk, hardisk eksternal, atau cloud storage seperti Google Drive atau OneDrive.
- Berguna kalau kamu mau salin dokumen ke komputer lain, atau simpan salinan cadangan.
- Bisa juga digunakan buat mengubah format file (misalnya dari .docx jadi .pdf).

J"
15,Apakah disana dapat full praktek?,"Iya, ada praktik lapangan atau magang yang dilaksanakan selama 2-3 bulan. Ada pula praktikum matakuliah yang merupakan bagian dari perkuliahan",magang/ kerja praktek,"Halo! Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHI) I Gusti Bagus Sugriwa. Senang sekali Anda tertarik dengan peluang magang!

Mengenai pertanyaan Anda tentang apakah magang bisa dilaksanakan secara *full practice* (praktik langsung), jawabannya bervariasi tergantung pada instansi tempat Anda magang.

Di beberapa instansi seperti **perusahaan teknologi dan startup** (misalnya Madhava Enterprises atau Innolab Studio), **BUMN**, atau **rumah sakit** yang sudah menggunakan sistem informasi modern, kemungkinan besar Anda akan mendapatkan kesempatan untuk bekerja langsung dengan proyek nyata. Di sini, tugas Anda bisa mencakup pengembangan aplikasi, pemeliharaan sistem, analisis data, atau bahkan berkontribusi dalam pengambilan keputusan teknis.

Namun, di instansi pemerintahan seperti **Komisi Informasi Provinsi Bali** atau **Dinas Komunikasi dan Informatika**, proses magang mungkin lebih berfokus pada pembelajaran administratif"
16,Apa itu informatika?,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik untuk mengetahui lebih lanjut tentang informatika.

Jawabannya sederhana: **informatika** adalah ilmu yang mempelajari cara kita mengolah, menyimpan, dan mendistribusikan informasi menggunakan komputer dan teknologi terkait. Bayangkan seperti ini: informatika adalah dasar dari semua hal digital yang kita gunakan sehari-hari – mulai dari aplikasi pesan instan hingga sistem perbankan online.

Di UHN Sugriwa, kami tidak hanya belajar teori, tapi juga langsung menerapkan pengetahuan ini dalam proyek-proyek nyata. Beberapa contohnya:

*  **Pengembangan Aplikasi:** Kita belajar membuat program komputer atau *software* yang bisa membantu menyelesaikan masalah di kehidupan sehari-hari.
*  **Kecerdasan Buatan (AI):** Kami menggali bagaimana membuat mesin pintar yang bisa belajar dan bekerja seperti manus"
17,Nanti bekerjanya bisa dimana saja?,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Halo! Senang sekali Anda tertarik dengan peluang karir setelah lulus dari Program Studi Informatika UHN I Gusti Bagus Sugriwa.

Jawabannya, lulusan kita punya fleksibilitas yang sangat luas dalam memilih tempat kerja. Berikut beberapa contoh:

1. **Perusahaan Teknologi & Startup Digital**: Banyak startup lokal maupun internasional di Bali dan sekitarnya mencari talenta informatika untuk mengembangkan aplikasi, sistem, atau solusi inovatif.
2. **Bank & Lembaga Keuangan**: Perbankan modern membutuhkan ahli IT untuk keamanan siber, analisis data, dan pengembangan layanan digital.
3. **Pemerintah**: Pemerintah daerah dan pusat selalu membutuhkan tenaga IT untuk mendukung layanan publik dan transformasi digital.
4. **Pendidikan & Akademik**: Jika Anda suka berbagi ilmu, Anda bisa jadi dosen atau instruktur di universitas atau lembaga pendidikan lainnya.
5. **Lembaga Riset**: Bergab"
18,Bagaimana peluang kerjanya?,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Wah, senang sekali mendengar Anda tertarik dengan prospek karir setelah lulus.

Jawabannya, peluang kerja untuk lulusan Informatika dari UHN sangat menjanjikan, terutama karena beberapa hal:

1. **Permintaan Tinggi:** Saat ini, banyak perusahaan di berbagai sektor membutuhkan ahli IT. Di Bali sendiri, kita lihat banyak startup yang berkembang pesat, seperti di bidang pariwisata digital, e-commerce, atau fintech. Selain itu, bank-bank besar juga sering mencari talenta IT untuk meningkatkan layanan mereka.

2. **Keterampilan yang Dibutuhkan:** Kurikulum di UHN dirancang agar Anda siap menghadapi tantangan dunia kerja. Kita fokus pada pemrograman, analisis data, sistem informasi, dan teknologi baru seperti AI dan cloud computing – semua ini sangat dicari oleh perusahaan.

3. **Pilihan Karir yang Beragam:**"
19,Apakah perlu pengalaman khusus agar bisa masuk infromatika?,"Tidak perlu. nanti akan belajar dari dasar. Mahasiswa baru akan diberikan dasar pemrograman, serta hal-hal lain yang berkaitan dengan informatika, seperti database, struktur data, dan lain sebagainya",Umum,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di Universitas Harapan Negeri (UHN) I Gusti Bagus Sugriwa. Pertanyaan Anda sangat penting, karena banyak calon mahasiswa bertanya hal serupa.

Jawabannya sederhana: **tidak ada pengalaman khusus** yang wajib dimiliki untuk dapat masuk ke program Informatika di UHN. Yang paling penting adalah minat dan kemampuan dasar Anda dalam bidang matematika dan logika. 

Namun, beberapa hal yang akan sangat membantu:

1. **Kemampuan Dasar:** Penguasaan konsep-konsep matematika seperti aljabar, geometri, dan statistik akan menjadi fondasi kuat.
2. **Minat Teknologi:** Jika Anda suka mencoba hal-hal baru di dunia digital, misalnya membuat aplikasi sederhana atau belajar pemrograman, itu akan sangat menambah semangat Anda.
3. **Pengalaman Organisasi:** Terlibat dalam kegiatan ekstrakurikuler atau organisasi siswa bisa membantu meng"
20,Apakah tips agar bisa IT?,"Menguasai problem solving, menyukai hal-hal yang berkaitan dengan teknologi",Umum,"Halo! Senang bertemu dengan Anda di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Sebagai sesama mahasiswa baru atau calon mahasiswa, saya mengerti Anda ingin tahu tips untuk sukses di bidang IT.

Berikut beberapa saran yang mungkin bermanfaat:

1. **Kuasai Dasar-Dasar:** Fokus pada pemrograman dasar seperti Python, Java, dan SQL. Jangan ragu untuk belajar dari sumber online gratis seperti Codecademy atau Coursera.
2. **Terus Belajar:** Teknologi berkembang cepat. Ikuti perkembangan terbaru melalui blog teknologi, YouTube channel, atau forum diskusi.
3. **Pahami Konsep:** Jangan hanya hafal kode. Coba pahami *mengapa* sebuah program bekerja.
4. **Buat Portofolio:** Buat proyek-proyek kecil untuk menunjukkan kemampuan Anda. GitHub bisa menjadi tempat yang baik untuk menyimpannya.
5. **Jalin Hubungan:** Bergabunglah dengan komunitas IT lokal atau online untuk berbagi pengetahuan dan"
21,Kalau boleh tau nanti penghasilan dari pekerjaan di informatika itu kira kira berapa?,"Gaji lulusan informatika sangat variatif. Fresh graduated bisa memiliki gaji berkisar antara 3-6 juta, sedangkan senior developer bisa memiliki gaji lebih dari 15 juta rupiah.",Gaji,"Halo! Senang bertemu denganmu sebagai calon alumni UHN I Gusti Bagus Sugriwa. Pertanyaanmu sangat tepat mengenai prospek penghasilan setelah lulus kuliah Informatika.

Berdasarkan data terkini, rata-rata gaji lulusan Informatika baru (fresh graduate) di Indonesia memang berkisar antara **Rp6-10 juta hingga Rp15 juta per bulan**, seperti yang kamu sebutkan. Namun, angka ini bisa lebih tinggi atau lebih rendah tergantung beberapa faktor:

1. **Lokasi:** Jakarta dan Surabaya biasanya menawarkan gaji lebih kompetitif dibandingkan daerah lain.
2. **Sektor Industri:** Perusahaan teknologi besar (Fintech, E-commerce, Startup) cenderung memberikan gaji lebih tinggi dibandingkan perusahaan tradisional.
3. **Kemampuan Teknis:** Keterampilan spesifik seperti pemrograman web (React, Node.js), analisis data, atau keamanan siber sangat dicari dan meningkatkan nilai tawar.
4. **Per"
22,"1. Apa perbedaan antara perangkat lunak (software) dan perangkat keras (hardware)?
2. Apa yang dimaksud dengan algoritma dalam pemrograman? Berikan contoh sederhananya.
3. Apa fungsi sistem operasi dalam sebuah komputer? Sebutkan 3 contoh sistem operasi.
4. Apa yang dimaksud dengan jaringan komputer dan apa manfaat utamanya?
5. Jelaskan pengertian dari basis data (database) dan sebutkan contohnya dalam kehidupan sehari-hari.","1. Perangkat keras adalah komponen fisik komputer yang dapat dilihat dan disentuh, seperti monitor dan keyboard. Perangkat lunak adalah program atau aplikasi yang menjalankan tugas tertentu, seperti sistem operasi dan pengolah kata.
2. Algoritma adalah urutan langkah-langkah logis untuk menyelesaikan suatu masalah. Contoh sederhana: membuat teh, yaitu menyiapkan gelas, memasukkan teh, menuangkan air panas, menambahkan gula, lalu mengaduk hingga rata.
3. Sistem operasi berfungsi mengelola perangkat keras, menjalankan aplikasi, dan menyediakan antarmuka bagi pengguna. Contoh sistem operasi adalah Windows, Linux, dan macOS.
4. Jaringan komputer adalah kumpulan komputer yang saling terhubung untuk bertukar data dan berbagi sumber daya. Manfaat utamanya adalah memudahkan komunikasi, berbagi file, dan penggunaan perangkat bersama seperti printer.
5. Basis data adalah kumpulan data yang disimpan dan diorganisasi secara terstruktur sehingga mudah diakses dan dikelola. Contohnya adalah data mahasiswa di kampus, data pelanggan toko, dan daftar kontak pada telepon pintar.",Umum,"Halo! Senang sekali bertemu denganmu di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Semoga perkuliahanmu berjalan lancar ya! Mari kita jawab pertanyaan-pertanyaanmu:

**1. Perbedaan antara perangkat lunak (software) dan perangkat keras (hardware):**

Perangkat lunak itu seperti resep masakan – instruksi atau program yang memberitahu komputer apa yang harus dilakukan. Sedangkan perangkat keras adalah bahan-bahannya, seperti pisau, panci, dan kompor. Tanpa resep (perangkat lunak), bahan-bahan (perangkat keras) tidak akan menghasilkan hidangan yang enak.

**2. Algoritma dalam pemrograman:**

Algoritma adalah langkah-langkah terstruktur untuk menyelesaikan suatu masalah. Bayangkan kamu mau membuat nasi goreng. Algoritmanya mungkin: (1) cuci beras, (2) tumis bumbu, (3) masukkan beras, (4) aduk rata, (5) matikan api. Set"
