Query,question,Top3,Top1,Top5,LLMOnly,LLM+RAG
265,Apa saja yang di bahas di informatika,Correct,Correct,Correct,Correct,Correct
266,gimana  sih pembelajaran coding itu?,Correct,Correct,Partially Correct,Correct,Correct
268,di jurusan informatika belajar apa saja?,Correct,Correct,Correct,Correct,Correct
269,jurusan informatika tu ngapain aja?,Correct,Correct,Correct,Partially Correct,Partially Correct
270,infor ngapain aja,Correct,Correct,Correct,Incorrect,Correct
271,trs kalo udah masuk kerja di bank itu jadi apa?,Correct,Correct,Correct,Incorrect,Correct
276,misalnya lulus infor pengen kerja di luar negeri jadi apa?,Correct,Correct,Correct,Correct,Correct
277,"ohh, trs enginer tu masuk jurusan infor?",Correct,Correct,Correct,Partially Correct,Incorrect
279,Jurusan informatika ngapain aja sih di kuliah ???,Correct,Correct,Correct,Correct,Partially Correct
281,Kalo mata kuliah nya apa aja selain informatika?,Partially Correct,Correct,Correct,Incorrect,Incorrect
282,Mengapa pembelajaran informatika sangat penting di era sekarang ini? ,Correct,Correct,Correct,Correct,Correct
283,apa manfaat dari mempelajari cooding,Correct,Correct,Correct,Correct,Correct
285,gimana cara mempelajari cooding dengan mudah,Correct,Correct,Partially Correct,Correct,Correct
286,lulusan informatika bisa jadi apa saja?,Correct,Correct,Correct,Correct,Partially Correct
288,Kalau gak kuat dasar matematika apakah kita bisa tetap masuk ke jurusan informatika??,Correct,Correct,Correct,Correct,Correct
289,"apa memilih jurusan informatika saat ini masih relevan? apalagi sekarang banyak pekerjaan manusia yang semakin banyak digantikan oleh AI, bahkan pekerjaan di bidang IT seperti membuat web, aplikasi, dan database bisa di kerjakan oleh AI tersebut",Correct,Correct,Correct,Partially Correct,Correct
290,"nah dari riset yang saya lakukan, memang bisa kita mengendalikan ai tersebut, tapi mengapa pada kampus kampus tidak menyediakan pelajaran yang mengajarkan kita bagaimana cara memberikan prom yang Correct dan dapat dijalankan oleh AI dengan sedikit keIncorrectan atau sesuai dengan apa yang kita mau",Partially Correct,Partially Correct,Partially Correct,Partially Correct,Partially Correct
291,Apa saja prospek kerja lulusan informatika,Correct,Correct,Correct,Correct,Partially Correct
297,prodi informatika ,Correct,Correct,Correct,Partially Correct,Correct
298,pelajaran apa saja yang didapat misalnya masuk informatika,Correct,Correct,Correct,Partially Correct,Correct
301,Apa laptop yang bagus untuk kuliah informatika ,Correct,Correct,Correct,Correct,Correct
302,Apa saja mata kuliah yang dipelajari pada jurusan informatika ,Correct,Correct,Correct,Partially Correct,Partially Correct
303,Bagaimana mengenai peluang kerja jurusan informatika ,Correct,Correct,Correct,Correct,Partially Correct
304,Apa berkemungkinan kuliah jurusan informatika tapi saat SMA memilih jurusan IPS,Correct,Correct,Correct,Partially Correct,Correct
307,Apakah ada rekomendasi selain jurusan informatika ,Correct,Correct,Correct,Incorrect,Partially Correct
308,apa saja yg dibahas pada jurusan informatika?,Correct,Correct,Correct,Partially Correct,Partially Correct
310,belajar  informatika itu susah gasih??,Correct,Correct,Correct,Correct,Correct
311,Apa saja yang akan saya pelajari dlm jurusan Informatika?,Correct,Correct,Correct,Correct,Partially Correct
312,Tapi Coding itu susah ya? Aku takut,Correct,Correct,Correct,Correct,Correct
313,Susah kah cara buat aplikasi?,Correct,Correct,Correct,Partially Correct,Incorrect
318,"Hallo, prodi informatika uhn Sugriwa mempelajari apa saja? ",Correct,Correct,Correct,Incorrect,Correct
319,Apa saja yang dipelajari dalam jurusan  informatika?,Correct,Correct,Correct,Correct,Correct
321,Untuk apakah kita belajar infomatika?,Correct,Correct,Correct,Correct,Correct
324,matakuliah apa saja yang di ajarkan di prodi informatika,Correct,Correct,Correct,Partially Correct,Partially Correct
325,tolong jelaskan apa itu prodi informatika?,Correct,Correct,Partially Correct,Correct,Correct
327,bagaimana prospek kerjanya nanti?,Correct,Correct,Correct,Partially Correct,Partially Correct
328,Berapa bayar ukt di prodi information? ,Correct,Incorrect,Correct,Incorrect,Incorrect
329,"Kira"" Saya dari sma tidak mendapatkan materi informatika, apa boleh mendaftar di sana? ",Correct,Correct,Correct,Partially Correct,Incorrect
331,terus kalo prospek kerjanya 5 tahun kedepan gimana nih,Correct,Correct,Correct,Partially Correct,Partially Correct
332,Prodi Informatika itu mempelajari apa saja sih?,Correct,Correct,Correct,Correct,Partially Correct
333,apakah masuk jurusan prodi informatika akan lebih mudah mendapatkan pekerjaan?,Correct,Correct,Correct,Correct,Correct
341,Jurusan apa saja yang ada di UHN,Incorrect,Incorrect,Correct,Incorrect,Incorrect
342,Apa keunggulan jika mengikuti perkuliahan prodi informatika di uhn I gusti bagus sugriwa serta apa saja materi mata kuliaj yang di dapat? ,Correct,Correct,Partially Correct,Partially Correct,Correct
345,apa saja mata kuliah di informatika,Correct,Correct,Correct,Partially Correct,Partially Correct
346,Berikan informasi seputar prodi informatika ,Correct,Correct,Correct,Partially Correct,Correct
347,"kalau saya kurang mahir menggunakan laptop, apa bisa ya saya masuk informatika?",Correct,Correct,Correct,Correct,Correct
348,Bagaimana kalau belum memiliki pengetahuan dasar tentang prodi informatika ,Correct,Correct,Correct,Correct,Partially Correct
349,Mata kuliah apa saja yang akan didapatkan?,Correct,Correct,Correct,Partially Correct,Correct
350,kalau sebelumnya saya ngambil jurusan akuntansi boleh masuk informatika?,Correct,Correct,Correct,Correct,Correct
351,"Sebagai lulusan SMA dan dari Jurusan IPS yang tentunya tidak memiliki pengetahuan dasar, apakah memungkinkan untuk memilih prodi informatika?",Correct,Correct,Correct,Correct,Partially Correct
352,"saya ragu banget kalau mau masuk informatika karena sebelumnya mengambil jurusan akuntansi di smk dan tidak memiliki basic informatika, sebaiknya saya tetap mengambil informatika atau ada saran jurusan yang lebih cocok di kampus UHN IGBS?",Correct,Correct,Correct,Partially Correct,Partially Correct
353,"Informatika banyak menggunakan logika dan perhitungan, bagaimana kalau kita tidak memenuhi dalam bidang itu?",Correct,Correct,Correct,Partially Correct,Correct
354,apa yang harus saya siapkan sebelum saya masuk informatika?,Correct,Correct,Correct,Correct,Correct
355,Apa yang perlu saya persiapankan sebelum masuk informatika?,Correct,Correct,Correct,Correct,Correct
359,"di kuliah informatika itu, di laptop memakai aplikasi apa aja sih?",Correct,Correct,Correct,Partially Correct,Correct
361,kalau di semester 1 itu apa aja sih dasar nya??,Correct,Correct,Correct,Incorrect,Correct
362,Dasar-dasar coding bisa saya pelajari di mana saja?,Partially Correct,Correct,Correct,Correct,Correct
363,jadi apa yang harus saya siapkan sebelum semester 1 ini mulai?,Correct,Correct,Correct,Partially Correct,Correct
364,Seandainya kita minta kelas tambahan dikarenakan ada materi yang kurang dimengerti apakah bisa?,Correct,Correct,Correct,Incorrect,Correct
365,Peluang kerja dari lulusan informatika gimana?,Correct,Correct,Correct,Correct,Correct
366,"kalau untuk pekerjaan, apa bener peluang kerja di informatika luas?",Correct,Correct,Correct,Correct,Correct
367,informatika itu mempelajari apa,Correct,Correct,Correct,Correct,Correct
368,kalau sebelumnya saya mengambil jurusan IPA di SMA apakah bisa mengambil jurusan informatika?,Correct,Correct,Correct,Partially Correct,Correct
369,kira kira mengambil jurusan informatika kedepannya bisa jadi apa?,Correct,Correct,Correct,Correct,Correct
370,apa saja mata kuliah di jurusan informatika,Correct,Correct,Correct,Partially Correct,Partially Correct
372,apakah saat saya mencari jurusan informatika banyak terdapat perhitungan seperti matematika?,Correct,Correct,Correct,Correct,Correct
374,dalam informatika spek loptap apa yang diperlukan,Incorrect,Incorrect,Incorrect,Correct,Incorrect
375,fasilitas apa yang disediakan di kampus UHN IGBSD ,Correct,Correct,Correct,Incorrect,Correct
377,1. Untuk jurusan informatika sistem pembelajaran nya seperti apa?,Correct,Correct,Correct,Partially Correct,Partially Correct
378,Di jurusan informatika mempelajari tentang apa saja sih,Correct,Correct,Correct,Correct,Correct
379,Apakah yang masuk di jurusan informatika harus yang sudah bisa banget tentang informatika,Correct,Correct,Correct,Partially Correct,Partially Correct
380,Apa aja sih yang perlu di siapin kalo mau masuk di jurusan informatika,Correct,Correct,Correct,Correct,Partially Correct
381,Jika saya tidak menguasai bahasa inggris dan masih belum bisa dasar komputer apakah bisa mengambil jurusan informatika,Correct,Correct,Correct,Partially Correct,Correct
382,Yang paling awal di pelajari di informatika utu apa sih,Correct,Correct,Correct,Correct,Correct
383,Saya masih bingung banget tentang coding saya pernah nyoba tapi susah sekali dan belum bisa mengetik dengan 10 jari,Correct,Correct,Correct,Partially Correct,Correct
384,Saya pengen banget masuk di jurusan informatika tapi saya selalu merasa kurang yakin karena takut tidak bisa dengan materi nya menurut kamu bagaimana ya,Correct,Correct,Correct,Correct,Correct
385,Apa sih yang paling susah dari pembelajaran di jurusan informatika ini,Correct,Correct,Correct,Correct,Correct
386,"Tugas"" nya apakah susah banget yaaa, saya takut banget ga bisa ngerjain nya",Correct,Correct,Correct,Correct,Partially Correct
387,"Menurut kamu saya harus yakin memilih jurusan informatika atau tidak, karena saya masih sangat bingung tentang jurusan ini",Correct,Partially Correct,Correct,Partially Correct,Incorrect
388,Apakah jurusan informatika ada pkl nya,Correct,Correct,Partially Correct,Partially Correct,Partially Correct
390,Saya mau tanya kalo lulusan informatika bisa kerja dimana saja sih,Correct,Correct,Correct,Correct,Correct
391,"1. Kira-kira di Jurusan Informatika, saya akan belajar tentang apa saja?",Correct,Correct,Correct,Correct,Correct
393,Saya belum pernah sama sekali belajar coding. Jadi kalau saya nggak bisa sama sekali coding tetep bisa belajar dari awal kah?,Correct,Correct,Partially Correct,Partially Correct,Correct
395,Okei. Kira-kira mata pelajaran yang paling penting dikuasai di SMA untuk modal masuk ke Jurusan Informatika kuliah nanti apa ya?,Correct,Correct,Correct,Correct,Correct
396,"Lalu, Jurusan Informatika ini nantinya akan lebih banyak teori atau praktiknya?",Correct,Correct,Correct,Partially Correct,Correct
397,Coding itu sesusah apa sih?,Correct,Correct,Correct,Partially Correct,Correct
401,Apa aja sih yg di pelajarin kl milih jurusan informatika?,Correct,Correct,Correct,Correct,Correct
402,"Kl milih jurusan informatika, prospek kerjanya ke arah mana aja si?",Correct,Correct,Correct,Correct,Correct
404,Fasilitas apa aja yang bisa kita dapetin kl kuliah di UHN,Correct,Correct,Correct,Incorrect,Partially Correct
405,Apa aja yg harus disiapin sblm kuliah jurusan informatika yaa,Correct,Correct,Correct,Correct,Correct
406,"Kl semisal di SMA kita pilih jurusan IPA, apa berkemungkinan kl mau lanjut kuliah informatika?",Correct,Correct,Correct,Correct,Correct
407,Aplikasi apa saja yg diperlukan di informatika,Partially Correct,Correct,Correct,Correct,Incorrect
408,Spek laptop seperti apa yang bagus untuk kuliah jurusan informatika,Correct,Correct,Correct,Correct,Correct
410,"Kl sama sekali kita belum belajar tentang komputer dan informatika, belajarnya harus mulai dari hal apa?",Correct,Correct,Correct,Partially Correct,Correct
411,Coba jelaskan mengenai Prodi Informatika ini,Correct,Correct,Correct,Partially Correct,Correct
412,Lulusan Informatika UHN I Gusti Bagus Sugriwa Denpasar bisa menjadi apa saja?,Correct,Correct,Correct,Partially Correct,Partially Correct
414,"Halo, apakah bisa bantu menjelaskan mengenai asrama mahasiswa?",Partially Correct,Correct,Correct,Incorrect,Correct
415,Dosen di UHN I Gusti Bagus Sugriwa Denpasar siapa saja?,Correct,Correct,Correct,Incorrect,Incorrect
416,Lulusan prodi informatika bisa kerja dimana?,Correct,Correct,Correct,Correct,Partially Correct
417,kelasnya pagi atau malam?,Correct,Correct,Correct,Incorrect,Correct
418,informasi jurusan informatika di uhn,Correct,Correct,Correct,Incorrect,Correct
419,Apa saja yang akan saya pelajari dalam jurusan informatika?,Correct,Correct,Correct,Correct,Partially Correct
420,Apakah boleh memilih kampus?,Correct,Correct,Correct,Incorrect,Correct
421,"Tapi aku ga ada bakat di bidang itu, apakah bisa belajar dari 0 ?",Correct,Correct,Correct,Correct,Incorrect
