Pertanyaan,Jawaban
Pengembangan Web itu kita bikin website full dari nol?,"Mata kuliah  Pengembangan Web merupakan matakuliah di semester 5. Matakuliah Pengembangan Web membahas proses perancangan dan pengembangan aplikasi web dinamis menggunakan teknologi front-end dan back-end. Mahasiswa akan mempelajari HTML, CSS, JavaScript, serta pemrograman sisi server dan integrasi basis data. Penekanan diberikan pada pembuatan web yang interaktif, responsif, dan aman."
Pembelajaran Mesin itu sama tidak sih seperti AI?,"Mata kuliah Pembelajaran Mesin (Machine Learning) merupakan matakuliah di semester 5. Matakuliah Pembelajaran Mesin (Machine Learning) membahas prinsip-prinsip dasar dari machine learning (pembelajaran mesin), termasuk supervised learning, unsupervised learning, dan evaluasi model. Mahasiswa akan mempelajari algoritma seperti regresi, decision tree, KNN, SVM, dan neural networks, serta implementasinya dengan menggunakan pustaka pemrograman populer."
Proyek Perangkat Lunak itu ngoding bareng atau presentasi doang?,"Mata kuliah merupakan matakuliah di semester 5. Matakuliah merupakan implementasi proyek nyata yang dilakukan secara berkelompok untuk merancang, membangun, dan menguji perangkat lunak sesuai dengan siklus hidup pengembangan perangkat lunak. Mahasiswa akan menerapkan keterampilan teknis dan manajerial, termasuk dokumentasi, pengujian, serta pelaporan hasil proyek."
Kewarganegaraan di Prodi Informatika belajarnya seperti apa?,"Mata kuliah Kewarganegaraan merupakan matakuliah di semester 5. Matakuliah Kewarganegaraan membahas hak dan kewajiban warga negara, sistem ketatanegaraan, demokrasi, serta nilai-nilai Pancasila dan UUD 1945. Mahasiswa diajak untuk menjadi warga negara yang kritis, bertanggung jawab, dan aktif dalam kehidupan berbangsa dan bernegara, termasuk dalam konteks perkembangan teknologi digital."
Mata kuliah pilihan semester 5 ada apa aja sih?,"Matakuliah pilihan artinya matakuliah tersebut wajib untuk dipilih salah satunya. Sebelum ditetapkan matakuliah mana yang akan dibuka, prodi akan menyampaikan pilihan matakuliah terlebih dahulu melalui sistem vote atau penawaran matakuliah. Matakuliah pilihan yang ditawarkan akan disesuaikan dengan ketersediaan dosen dan laboratorium di masing-masing kampus.  Mahasiswa diharapkan memilih matakuliah yang sesuai dengan minat dan bakatnya. Biasanya matakuliah yang dibuka dan bisa dipilih di siakad adalah matakuliah dengan peminat terbanyak. Mata kuliah ini memberikan kesempatan kepada mahasiswa untuk memperluas wawasan dan kompetensi sesuai dengan minat atau kebutuhan pengembangan keilmuan tertentu. Topik pilihan pada semester 5  adalah Analisis Jejaring Sosial, Strategi Algoritma, Teknologi Blockchain, Technopreneurship, dan Visualisasi Data"
"MBKM itu sebenarnya apa sih, dan kita belajar apa aja di sana?",Mata kuliah ini merupakan implementasi program Merdeka Belajar Kampus Merdeka yang memberikan kesempatan kepada mahasiswa untuk belajar di luar program studi. Mahasiswa diharapkan memperoleh pengalaman praktis dan kompetensi tambahan yang mendukung kesiapan kerja dan pengembangan diri. 
Analisis Jejaring Sosial itu kita bahas media sosial juga?,"Mata kuliah Analisis Jejaring Sosial merupakan matakuliah pilihan pada semester 5. Matakuliah Analisis Jejaring Sosial membahas teori dan teknik analisis jejaring sosial (social network analysis) untuk memahami hubungan dan interaksi antar individu atau entitas dalam sebuah jaringan. Mahasiswa akan mempelajari representasi graf, centrality, clustering, dan visualisasi jaringan menggunakan alat analisis seperti Gephi atau Python NetworkX."
Strategi Algoritma itu seperti belajar taktik nyelesain soal-soal susah?,"Mata kuliah Strategi Algoritma merupakan matakuliah pilihan pada semester 5. Matakuliah  Strategi Algoritma mempelajari strategi-strategi penting dalam perancangan algoritma, seperti divide and conquer, greedy, dynamic programming, dan backtracking. Mahasiswa akan menganalisis efisiensi dan efektivitas algoritma dalam menyelesaikan berbagai permasalahan komputasi yang kompleks, serta membandingkan pendekatan berdasarkan kompleksitas waktu dan ruang."
Teknologi Blockchain itu bakal bikin kita bisa bikin seperti crypto?,"Mata kuliah Teknologi Blockchain merupakan matakuliah pilihan pada semester 5. Matakuliah Teknologi Blockchain membahas konsep dasar dan aplikasi teknologi blockchain, termasuk arsitektur terdesentralisasi, konsensus, smart contract, dan keamanan dalam blockchain. Mahasiswa akan mengeksplorasi implementasi blockchain dalam berbagai bidang seperti keuangan, logistik, dan sertifikasi digital."
Technopreneurship itu kita disuruh bikin startup gitu ya?,"Mata kuliah Technopreneurship merupakan matakuliah pilihan pada semester 5. Matakuliah Technopreneurship membekali mahasiswa dengan pengetahuan dan keterampilan dalam merintis usaha berbasis teknologi (startup). Topik mencakup ide bisnis digital, model bisnis canvas, validasi produk, pitch deck, serta studi kasus keberhasilan technopreneur. Mahasiswa diharapkan mampu mengembangkan solusi digital inovatif yang bernilai bisnis."
Visualisasi Data itu belajar bikin grafik doang atau ada hal keren lainnya?,"Mata kuliah Visualisasi Data merupakan matakuliah pilihan pada semester 5. Matakuliah Visualisasi Data membahas prinsip, teknik, dan alat visualisasi data untuk menyampaikan informasi secara efektif dan intuitif. Mahasiswa akan mempelajari berbagai jenis grafik, dashboard interaktif, serta penggunaan alat visualisasi seperti Tableau, D3.js, atau Python (matplotlib, seaborn). Tujuannya adalah mengubah data kompleks menjadi visual yang mudah dipahami."
Capstone Project itu sebenarnya seperti skripsi atau beda?,"Capstone Project ini merupakan integrasi dari beberapa mata kuliah inti dalam program studi, yaitu AlgoritmaPemrograman, Struktur Data, Rekayasa Perangkat Lunak, PemrogramanBerorientasi Objek, Proyek Perangkat Lunak, Kecerdasan Buatan, danPembelajaran Mesin. Luaran utama dari Capstone Project ini adalah dokumen perancangan dan prototipe yang dapat diimplementasikan sebagai solusi perangkat lunak atau sistem cerdas berbasis budaya. Melalui proyek ini, mahasiswa/i akan memahami dan mengaplikasikan proses pengembangan perangkat lunak yang baik, mengasah kemampuan analisis dan problem-solving, serta mempersiapkan diri untuk praktik profesional di industri teknologi informasi. Capstone Project ini bukan ditujukan untuk penelitian yang menghasilkan kebaruan (novelty), melainkan untuk menunjukkan kemampuan mahasiswa/i dalam menerapkan pengetahuan dan keterampilan yang telah mereka pelajari sepanjang studi. Sesuai dengan Kurikulum Prodi Informatika di UHN I Gusti Bagus Sugriwa, pelaksanaan Capstone Project dilakukan dalam dua semester, yaitu semester 6 dan semester 7. Capstone Project I dilaksanakan pada semester 6, sedangkan Capstone Project II dilaksanakan pada semester 7 dengan masingmasing 3 beban SKS. Capstone Project ini harus menghasilkan produk yang memecahkan masalah teknik atau sosial yang spesifik dan dilakukan dengan metode yang benar. Secara formal, tahap pengerjaan Capstone Project mencakup: 
1. Proposal (C-100): Mahasiswa/i memaparkan masalah yang akan diselesaikan dan menunjukkan bahwa masalah tersebut nyata. 
2 Penentuan Spesifikasi (C-200): Mengembangkan spesifikasi sistem yang akan dirancang untuk memecahkan masalah yang telah diidentifikasi pada C-100. 
3. Perancangan (C-300): Mahasiswa/i membuat semua keputusan penting untuk mewujudkan produk yang diinginkan. 
4. Implementasi (C-400): Mengimplementasikan hasil rancangan, menghasilkan kode sumber, desain sistem, atau prototipe, yang terdokumentasi dengan baik dan siap untuk diuji. 
5. Pengujian (C-500): Melakukan pengujian terhadap prototipe sesuai dengan spesifikasi dan tujuan awal, untuk memastikan produk tersebut efektif dalam memecahkan masalah yang telah didefinisikan. Tahap pertama hingga ketiga dilaksanakan pada semester 
6. (Capstone Project I), menghasilkan purwarupa atau model awal. Jika hasil awal tidak memuaskan, tahapan pertama dinyatakan gagal dan harus diulang. Tahap keempat dan kelima dilaksanakan pada semester 
7. (Capstone Project II), di mana mahasiswa/i melakukan implementasi, pengujian, dan persiapan untuk demonstrasi serta presentasi akhir."
"Di semester 6, ada mata kuliah apa aja yang harus diambil?","Kerja Praktek / Magang, Data Mining, Bahasa Bali, Matematika Diskrit, Metodologi Penelitian, Manajemen Proyek Perangkat Lunak, Capstone Project I.
Mahasiwa mengambil SKS magang pada semester 6, namun pelaksanaan magang dilakukan pada libur semester genap yaitu pada bulan juli-agustus setiap tahunnya. Sehingga mahasiswa melaksanakan magang sebelum semester 5 dimulai. Magang memberikan pengalaman langsung kepada mahasiswa untuk menerapkan ilmu yang telah diperoleh di dunia kerja melalui kegiatan magang di instansi, perusahaan, atau lembaga terkait bidang informatika. Mahasiswa diharapkan mampu mengamati, menganalisis, dan terlibat dalam proses kerja profesional, serta menyusun laporan kerja praktik secara sistematis. Kegiatan Magang umumnya dilakukan secara berkelompok dengan bimbingan dari seorang dosen pembimbing serta pembimbing lapangan dari instansi. Magang dilaksanakan pada kisaran bulan juni-juni-agustus selama kurang lebih 60 hari. Mahasiswa memilih sendiri lokasi tempat magang, namun tempat magang tersebut atas persetujuan atau pertimbangan dari ketua jurusan. Tempat magang yang dipilih harus memungkinkan mahasiswa belajar teknologi. Mahasiswa dilarang magang ditempat yang pekerjaannya tidak sesuai dengan informatika.
Matkuliah Data Mining diambil pada semester 6. Mata kuliah Data Mining membahas proses ekstraksi pola dan pengetahuan tersembunyi dari kumpulan data besar menggunakan metode statistik, machine learning, dan algoritma komputasi. Mahasiswa akan mempelajari teknik klasifikasi, klastering, asosiasi, dan evaluasi model, serta penerapannya dalam pengambilan keputusan berbasis data.
Matakuliah Bahasa Bali diajarkan pada semester 6. Mata kuliah Bahasa Bali memberikan pemahaman mengenai Bahasa Bali baik secara lisan maupun tulisan, termasuk struktur kebahasaan, ragam tingkat tutur, serta konteks budaya dan sosial. Mahasiswa akan dilatih menggunakan Bahasa Bali dalam komunikasi akademik maupun profesional sebagai bentuk pelestarian budaya lokal. Matakuliah Bahasa Bali merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Mahasiswa mengikuti matakuliah Metodologi Penelitian pada semester 6. Mata kuliah Metodologi Penelitian merupakan persiapan untuk mengukuti kuliah seminar serta persiapan pembuatan proposal tugas akhir. Matakuliah metodologi Penelitian membekali mahasiswa dengan pemahaman dan keterampilan dalam menyusun proposal dan laporan penelitian ilmiah. Materi mencakup identifikasi masalah, perumusan hipotesis, kajian pustaka, metode pengumpulan data, teknik analisis, dan penyusunan laporan. Mata kuliah ini menjadi dasar dalam menyiapkan tugas akhir atau skripsi.
Mata kuliah Manajemen Proyek Perangkat Lunak ada di semester 6. Matakuliah Manajemen Proyek Perangkat Lunak membahas konsep dan praktik dalam mengelola proyek pengembangan perangkat lunak, termasuk perencanaan, penjadwalan, penganggaran, pengendalian mutu, serta manajemen risiko. Mahasiswa akan mempelajari tools manajemen proyek dan metodologi seperti agile, scrum, dan waterfall.
Mata kuliah Capstone Project merupakan tahap awal dari proyek mahasiswa yang dirancang untuk mengintegrasikan berbagai pengetahuan dan keterampilan yang telah dipelajari selama perkuliahan. Mahasiswa akan menyusun proposal proyek, melakukan studi literatur, analisis kebutuhan, dan perancangan awal sistem sebagai dasar untuk pengembangan lanjutan pada Capstone Project II."
Kerja Praktek atau Magang itu dilakukan di mana aja sih biasanya?,"Mahasiwa mengambil SKS magang pada semester 6, namun pelaksanaan magang dilakukan pada libur semester genap yaitu pada bulan juli-agustus setiap tahunnya. Sehingga mahasiswa melaksanakan magang sebelum semester 5 dimulai. Magang memberikan pengalaman langsung kepada mahasiswa untuk menerapkan ilmu yang telah diperoleh di dunia kerja melalui kegiatan magang di instansi, perusahaan, atau lembaga terkait bidang informatika. Mahasiswa diharapkan mampu mengamati, menganalisis, dan terlibat dalam proses kerja profesional, serta menyusun laporan kerja praktik secara sistematis. Kegiatan Magang umumnya dilakukan secara berkelompok dengan bimbingan dari seorang dosen pembimbing serta pembimbing lapangan dari instansi. Magang dilaksanakan pada kisaran bulan juni-juni-agustus selama kurang lebih 60 hari. Mahasiswa memilih sendiri lokasi tempat magang, namun tempat magang tersebut atas persetujuan atau pertimbangan dari ketua jurusan. Tempat magang yang dipilih harus memungkinkan mahasiswa belajar teknologi. Mahasiswa dilarang magang ditempat yang pekerjaannya tidak sesuai dengan informatika."
Data Mining itu seru tidak? Kita ngapain aja?,"Matkuliah Data Mining diambil pada semester 6. Mata kuliah Data Mining membahas proses ekstraksi pola dan pengetahuan tersembunyi dari kumpulan data besar menggunakan metode statistik, machine learning, dan algoritma komputasi. Mahasiswa akan mempelajari teknik klasifikasi, klastering, asosiasi, dan evaluasi model, serta penerapannya dalam pengambilan keputusan berbasis data."
Bahasa Bali di Informatika itu kita pakai buat apa ya?,"Terdapat 3 matakuliah Bahasa di Prodi Informatika, yaitu Bahasa Indonesia, Bahasa Inggris, Bahasa Bali, dan Bahasa Sansekerta.
Mata kuliah Bahasa Inggris diajarkan di semester 1. Matakuliah Bahasa Inggris dirancang untuk meningkatkan kemampuan berbahasa Inggris mahasiswa, terutama dalam konteks akademik dan profesional. Fokus utama mencakup keterampilan membaca teks teknis, menulis laporan, serta komunikasi lisan dalam diskusi dan presentasi. Penguasaan bahasa Inggris sangat penting untuk mengakses literatur ilmiah dan berkomunikasi di industri global. 
Matakuliah Bahasa Bali diajarkan pada semester 6. Mata kuliah Bahasa Bali memberikan pemahaman mengenai Bahasa Bali baik secara lisan maupun tulisan, termasuk struktur kebahasaan, ragam tingkat tutur, serta konteks budaya dan sosial. Mahasiswa akan dilatih menggunakan Bahasa Bali dalam komunikasi akademik maupun profesional sebagai bentuk pelestarian budaya lokal. Matakuliah Bahasa Bali merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Sansekerta diajarkan di semester 7. Matakuliah Bahasa Sansekerta memperkenalkan dasar-dasar tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Sansekerta. Mahasiswa akan memahami peran Bahasa Sansekerta dalam kebudayaan, agama, dan sejarah Indonesia, serta penggunaannya dalam teks-teks kuno, terutama dalam konteks pelestarian nilai-nilai budaya Hindu. Matakuliah Bahasa Sansekerta merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa.
Matakuliah Bahasa Indonesia diajarkan di semester 7 sebagai bagian dari persiapan untuk menulis tugas akhir. Mata kuliah Bahasa Indonesia dirancang untuk membekali mahasiswa dengan keterampilan berbahasa Indonesia yang baik dan benar dalam konteks akademik dan profesional, khususnya sebagai persiapan menghadapi penulisan karya ilmiah seperti skripsi. Materi meliputi kaidah tata bahasa, struktur penulisan ilmiah, penggunaan bahasa yang logis dan efektif, serta teknik menyusun laporan, proposal, dan artikel ilmiah. Mahasiswa juga dilatih untuk membaca dan menulis secara kritis serta mengungkapkan gagasan secara sistematis dan komunikatif. Melalui mata kuliah ini, mahasiswa diharapkan mampu menghasilkan karya tulis ilmiah yang sesuai dengan standar akademik dan mencerminkan pemahaman mendalam terhadap bidang informatika."
Matematika Diskrit itu penting  tidak sih buat ngoding?,"Mata kuliah Matematika Diskrit diajarkan di semester 6.. Matakuliah Matematika Diskrit mempelajari konsep-konsep matematika yang bersifat diskrit dan aplikatif dalam informatika, seperti logika proposisional, teori himpunan, relasi dan fungsi, graf, pohon, dan kombinatorika. Mahasiswa akan dilatih berpikir logis dan sistematis dalam menyusun model permasalahan dan algoritma komputasi."
Metodologi Penelitian itu belajarnya buat nyiapin skripsi?,"Mahasiswa mengikuti matakuliah Metodologi Penelitian pada semester 6. Mata kuliah Metodologi Penelitian merupakan persiapan untuk mengukuti kuliah seminar serta persiapan pembuatan proposal tugas akhir. Matakuliah metodologi Penelitian membekali mahasiswa dengan pemahaman dan keterampilan dalam menyusun proposal dan laporan penelitian ilmiah. Materi mencakup identifikasi masalah, perumusan hipotesis, kajian pustaka, metode pengumpulan data, teknik analisis, dan penyusunan laporan. Mata kuliah ini menjadi dasar dalam menyiapkan tugas akhir atau skripsi."
Manajemen Proyek Perangkat Lunak itu ngajarin kita jadi project manager?,"Mata kuliah Manajemen Proyek Perangkat Lunak ada di semester 6. Matakuliah Manajemen Proyek Perangkat Lunak membahas konsep dan praktik dalam mengelola proyek pengembangan perangkat lunak, termasuk perencanaan, penjadwalan, penganggaran, pengendalian mutu, serta manajemen risiko. Mahasiswa akan mempelajari tools manajemen proyek dan metodologi seperti agile, scrum, dan waterfall."
Capstone Project I itu mulainya kapan dan kita ngapain aja?,"Mata kuliah Capstone Project merupakan tahap awal dari proyek mahasiswa yang dirancang untuk mengintegrasikan berbagai pengetahuan dan keterampilan yang telah dipelajari selama perkuliahan. Mahasiswa akan menyusun proposal proyek, melakukan studi literatur, analisis kebutuhan, dan perancangan awal sistem sebagai dasar untuk pengembangan lanjutan pada Capstone Project II."
Pas semester 7 biasanya belajar apa aja?,"KKN, Pendidikan Agama, Mata Kuliah Pilihan/MBKM, Capstone Project II, Pancasila, Bahasa Indonesia, Bahasa Sansekerta, Tata Tulis Karya Tulis Ilmiah & Seminar.
Mata kuliah KKN diambil pada semester 7. Matakuliah KKN merupakan bentuk pengabdian kepada masyarakat yang dilakukan oleh mahasiswa dalam jangka waktu tertentu, di bawah koordinasi LPPM UHN I Gusti Bagus Sugriwa Denpasar. Mahasiswa diterjunkan langsung ke masyarakat untuk menerapkan ilmu pengetahuan dan teknologi guna membantu memecahkan permasalahan riil yang ada di lingkungan desa atau wilayah tertentu. Biasanya, kegiatan KKN berlangsung pada bulan Juli-Agustus. 
Mata kuliah Pendidikan Agama diambil pada semester 7. Matakuliah Pendidikan Agama membentuk karakter religius mahasiswa melalui penguatan nilai-nilai keagamaan sesuai dengan agama yang dianut. Materi mencakup nilai moral, etika, toleransi, dan spiritualitas yang membentuk pribadi yang beriman, bertakwa, serta mampu mengaplikasikan nilai-nilai agama dalam kehidupan sosial dan profesi.
Matakuliah pilihan artinya matakuliah tersebut wajib untuk dipilih salah satunya. Sebelum ditetapkan matakuliah mana yang akan dibuka, prodi akan menyampaikan pilihan matakuliah terlebih dahulu melalui sistem vote atau penawaran matakuliah. Matakuliah pilihan yang ditawarkan akan disesuaikan dengan ketersediaan dosen dan laboratorium di masing-masing kampus.  Mahasiswa diharapkan memilih matakuliah yang sesuai dengan minat dan bakatnya. Biasanya matakuliah yang dibuka dan bisa dipilih di siakad adalah matakuliah dengan peminat terbanyak. Matakuliah pilihan yang ada di semester 7 adalah Pemrosesan Bahasa Alami, Data Science, Digital Forensic, Wireless Sensors Network, dan Komputer Vision.
Mata kuliah Pemrosesan Bahasa Alami atau NLP merupakan matakuliah pilihan di semester 7. Matakuliah iNLP membahas teori dan teknik dalam pengolahan data bahasa alami (Natural Language Processing/NLP), termasuk tokenisasi, stemming, parsing, pengenalan entitas, dan analisis sentimen. Mahasiswa akan mempelajari bagaimana komputer memahami dan menghasilkan bahasa manusia melalui pendekatan linguistik, statistika, dan machine learning. 
Mata kuliah Data Science merupakan matakuliah pilihan di semester 7. Matakuliah Data Science mengenalkan prinsip dan praktik ilmu data, mulai dari pengumpulan, pembersihan, eksplorasi, analisis, hingga visualisasi data. Mahasiswa akan menggunakan berbagai alat dan teknik untuk mengekstrak wawasan dari data besar (big data), serta menerapkan pendekatan statistik dan pembelajaran mesin untuk pengambilan keputusan berbasis data.
Mata kuliah Digital Forensic merupakan matakuliah pilihan di semester 7. Matakuliah Digital Forensic membahas teknik dan proses penyelidikan terhadap insiden digital atau kejahatan siber melalui pengumpulan, analisis, dan pelestarian bukti digital. Mahasiswa akan mempelajari prinsip hukum, prosedur investigasi, serta penggunaan perangkat lunak forensik untuk mengidentifikasi jejak digital secara akurat dan sah.
Mata kuliah Wireless Sensors Network  merupakan matakuliah pilihan di semester 7. Matakuliah Wireless Sensors Network  membahas prinsip dasar dan arsitektur jaringan sensor nirkabel (Wireless Sensor Network/WSN), termasuk desain node sensor, komunikasi nirkabel, topologi jaringan, protokol routing, serta aplikasi pada lingkungan, pertanian, dan smart city. Mahasiswa akan memahami bagaimana data dikumpulkan dan dikirimkan dari berbagai sensor secara efisien.
Mata kuliah  Computer Vision merupakan matakuliah pilihan di semester 7. Mata kuliah Komputer Vision mempelajari teknik dan algoritma dalam pengolahan dan analisis citra digital untuk memungkinkan komputer """"melihat"""" dan memahami objek visual. Topik meliputi deteksi tepi, segmentasi, ekstraksi fitur, pengenalan objek, dan pemrosesan video. Mahasiswa akan menerapkan metode computer vision pada aplikasi seperti pengenalan wajah, kendaraan otonom, dan sistem pengawasan.""
Mata kuliah Capstone Projetc II diambil pada semester 7. Matakuliah Capstone Project II merupakan kelanjutan dari Capstone Project I, di mana mahasiswa melanjutkan pengembangan, implementasi, dan pengujian sistem atau aplikasi yang telah dirancang. Di akhir proyek, mahasiswa harus menyusun laporan akhir dan mempresentasikan hasil kerja mereka dalam seminar terbuka atau pameran sebagai bentuk pertanggungjawaban akademik.
Mata kuliah Pancasila diambil pada semester 7. Matakuliah Pancasila membahas Pancasila sebagai dasar negara, ideologi nasional, dan pandangan hidup bangsa Indonesia. Mahasiswa akan memahami nilai-nilai luhur Pancasila dalam konteks historis, filosofis, serta penerapannya dalam kehidupan berbangsa, bernegara, dan bermasyarakat, termasuk di era digital dan global.
Matakuliah Bahasa Indonesia diajarkan di semester 7 sebagai bagian dari persiapan untuk menulis tugas akhir. Mata kuliah Bahasa Indonesia dirancang untuk membekali mahasiswa dengan keterampilan berbahasa Indonesia yang baik dan benar dalam konteks akademik dan profesional, khususnya sebagai persiapan menghadapi penulisan karya ilmiah seperti skripsi. Materi meliputi kaidah tata bahasa, struktur penulisan ilmiah, penggunaan bahasa yang logis dan efektif, serta teknik menyusun laporan, proposal, dan artikel ilmiah. Mahasiswa juga dilatih untuk membaca dan menulis secara kritis serta mengungkapkan gagasan secara sistematis dan komunikatif. Melalui mata kuliah ini, mahasiswa diharapkan mampu menghasilkan karya tulis ilmiah yang sesuai dengan standar akademik dan mencerminkan pemahaman mendalam terhadap bidang informatika.""Matakuliah Bahasa Sansekerta diajarkan di semester 7. Matakuliah Bahasa Sansekerta memperkenalkan dasar-dasar tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Sansekerta. Mahasiswa akan memahami peran Bahasa Sansekerta dalam kebudayaan, agama, dan sejarah Indonesia, serta penggunaannya dalam teks-teks kuno, terutama dalam konteks pelestarian nilai-nilai budaya Hindu. Matakuliah Bahasa Sansekerta merupakan matakuliah wajib yang diikuti oleh seluruh mahasiswa di UHN Sugriwa."
Kuliah Kerja Nyata (KKN) buat anak Informatika itu kegiatan seperti apa?,"Mata kuliah KKN diambil pada semester 7. Matakuliah KKN merupakan bentuk pengabdian kepada masyarakat yang dilakukan oleh mahasiswa dalam jangka waktu tertentu, di bawah koordinasi LPPM UHN I Gusti Bagus Sugriwa Denpasar. Mahasiswa diterjunkan langsung ke masyarakat untuk menerapkan ilmu pengetahuan dan teknologi guna membantu memecahkan permasalahan riil yang ada di lingkungan desa atau wilayah tertentu. Biasanya, kegiatan KKN berlangsung pada bulan Juli-Agustus. "
Pendidikan Agama di Prodi Informatika itu bahas nilai-nilai atau hal teknis juga?,"Mata kuliah Pendidikan Agama diambil pada semester 7. Matakuliah Pendidikan Agama membentuk karakter religius mahasiswa melalui penguatan nilai-nilai keagamaan sesuai dengan agama yang dianut. Materi mencakup nilai moral, etika, toleransi, dan spiritualitas yang membentuk pribadi yang beriman, bertakwa, serta mampu mengaplikasikan nilai-nilai agama dalam kehidupan sosial dan profesi."
Mata kuliah pilihan atau MBKM di semester ini biasanya apa aja?,"
Matakuliah pilihan artinya matakuliah tersebut wajib untuk dipilih salah satunya. Sebelum ditetapkan matakuliah mana yang akan dibuka, prodi akan menyampaikan pilihan matakuliah terlebih dahulu melalui sistem vote atau penawaran matakuliah. Matakuliah pilihan yang ditawarkan akan disesuaikan dengan ketersediaan dosen dan laboratorium di masing-masing kampus.  Mahasiswa diharapkan memilih matakuliah yang sesuai dengan minat dan bakatnya. Biasanya matakuliah yang dibuka dan bisa dipilih di siakad adalah matakuliah dengan peminat terbanyak. Matakuliah pilihan yang ada di semester 7 adalah Pemrosesan Bahasa Alami, Data Science, Digital Forensic, Wireless Sensors Network, dan Komputer Vision.
Mata kuliah Pemrosesan Bahasa Alami atau NLP merupakan matakuliah pilihan di semester 7. Matakuliah iNLP membahas teori dan teknik dalam pengolahan data bahasa alami (Natural Language Processing/NLP), termasuk tokenisasi, stemming, parsing, pengenalan entitas, dan analisis sentimen. Mahasiswa akan mempelajari bagaimana komputer memahami dan menghasilkan bahasa manusia melalui pendekatan linguistik, statistika, dan machine learning. 
Mata kuliah Data Science merupakan matakuliah pilihan di semester 7. Matakuliah Data Science mengenalkan prinsip dan praktik ilmu data, mulai dari pengumpulan, pembersihan, eksplorasi, analisis, hingga visualisasi data. Mahasiswa akan menggunakan berbagai alat dan teknik untuk mengekstrak wawasan dari data besar (big data), serta menerapkan pendekatan statistik dan pembelajaran mesin untuk pengambilan keputusan berbasis data.
Mata kuliah Digital Forensic merupakan matakuliah pilihan di semester 7. Matakuliah Digital Forensic membahas teknik dan proses penyelidikan terhadap insiden digital atau kejahatan siber melalui pengumpulan, analisis, dan pelestarian bukti digital. Mahasiswa akan mempelajari prinsip hukum, prosedur investigasi, serta penggunaan perangkat lunak forensik untuk mengidentifikasi jejak digital secara akurat dan sah.
Mata kuliah Wireless Sensors Network  merupakan matakuliah pilihan di semester 7. Matakuliah Wireless Sensors Network  membahas prinsip dasar dan arsitektur jaringan sensor nirkabel (Wireless Sensor Network/WSN), termasuk desain node sensor, komunikasi nirkabel, topologi jaringan, protokol routing, serta aplikasi pada lingkungan, pertanian, dan smart city. Mahasiswa akan memahami bagaimana data dikumpulkan dan dikirimkan dari berbagai sensor secara efisien.
Mata kuliah  Computer Vision merupakan matakuliah pilihan di semester 7. Mata kuliah Komputer Vision mempelajari teknik dan algoritma dalam pengolahan dan analisis citra digital untuk memungkinkan komputer ""melihat"" dan memahami objek visual. Topik meliputi deteksi tepi, segmentasi, ekstraksi fitur, pengenalan objek, dan pemrosesan video. Mahasiswa akan menerapkan metode computer vision pada aplikasi seperti pengenalan wajah, kendaraan otonom, dan sistem pengawasan."
Capstone Project II itu lanjutan dari yang pertama ya?,"Mata kuliah Capstone Projetc II diambil pada semester 7. Matakuliah Capstone Project II merupakan kelanjutan dari Capstone Project I, di mana mahasiswa melanjutkan pengembangan, implementasi, dan pengujian sistem atau aplikasi yang telah dirancang. Di akhir proyek, mahasiswa harus menyusun laporan akhir dan mempresentasikan hasil kerja mereka dalam seminar terbuka atau pameran sebagai bentuk pertanggungjawaban akademik."
Pancasila di Informatika itu dibawakan dengan cara yang beda atau sama seperti SMA?,"Mata kuliah Pancasila diambil pada semester 7. Matakuliah Pancasila membahas Pancasila sebagai dasar negara, ideologi nasional, dan pandangan hidup bangsa Indonesia. Mahasiswa akan memahami nilai-nilai luhur Pancasila dalam konteks historis, filosofis, serta penerapannya dalam kehidupan berbangsa, bernegara, dan bermasyarakat, termasuk di era digital dan global."
Bahasa Indonesia di sini lebih ke akademik atau umum?,"Matakuliah Bahasa Indonesia diajarkan di semester 7 sebagai bagian dari persiapan untuk menulis tugas akhir. Mata kuliah Bahasa Indonesia dirancang untuk membekali mahasiswa dengan keterampilan berbahasa Indonesia yang baik dan benar dalam konteks akademik dan profesional, khususnya sebagai persiapan menghadapi penulisan karya ilmiah seperti skripsi. Materi meliputi kaidah tata bahasa, struktur penulisan ilmiah, penggunaan bahasa yang logis dan efektif, serta teknik menyusun laporan, proposal, dan artikel ilmiah. Mahasiswa juga dilatih untuk membaca dan menulis secara kritis serta mengungkapkan gagasan secara sistematis dan komunikatif. Melalui mata kuliah ini, mahasiswa diharapkan mampu menghasilkan karya tulis ilmiah yang sesuai dengan standar akademik dan mencerminkan pemahaman mendalam terhadap bidang informatika."""
